Configuration,Tolerance,TargetCost,BayesianFinalCost,MultiFinalCost,BayesianEvalsToTarget,MultiEvalsToTarget,EvalSpeedup_MultiOverBay,BayesTime@tau=0.01s,MultiTime@tau=0.01s,TimeSpeedup@tau=0.01s,BayesTime@tau=0.10s,MultiTime@tau=0.10s,TimeSpeedup@tau=0.10s,BayesTime@tau=1.0s,MultiTime@tau=1.0s,TimeSpeedup@tau=1.0s,BayesTime@tau=10.0s,MultiTime@tau=10.0s,TimeSpeedup@tau=10.0s,BayesTime@tau=100.0s,MultiTime@tau=100.0s,TimeSpeedup@tau=100.0s,BayesTime@tau=1000.0s,MultiTime@tau=1000.0s,TimeSpeedup@tau=1000.0s,BayesTime@tau=10000.0s,MultiTime@tau=10000.0s,TimeSpeedup@tau=10000.0s
"3 coils, λ=1e-06",0.10%,2.788e-03,2.785e-03,2.785e-03,539,533,0.99,5.390,5.330,0.99,53.900,53.300,0.99,539,533,0.99,5390,5330,0.99,5.390e+04,5.330e+04,0.99,5.390e+05,5.330e+05,0.99,5.390e+06,5.330e+06,0.99
"3 coils, λ=1e-07",10.0%,1.001e-04,9.104e-05,9.104e-05,469,645,1.38,4.690,6.450,1.38,46.900,64.500,1.38,469,645,1.38,4690,6450,1.38,4.690e+04,6.450e+04,1.38,4.690e+05,6.450e+05,1.38,4.690e+06,6.450e+06,1.38
"3 coils, λ=1e-07",1.0%,9.195e-05,9.104e-05,9.104e-05,504,666,1.32,5.040,6.660,1.32,50.400,66.600,1.32,504,666,1.32,5040,6660,1.32,5.040e+04,6.660e+04,1.32,5.040e+05,6.660e+05,1.32,5.040e+06,6.660e+06,1.32
"3 coils, λ=1e-07",0.10%,9.113e-05,9.104e-05,9.104e-05,518,680,1.31,5.180,6.800,1.31,51.800,68.000,1.31,518,680,1.31,5180,6800,1.31,5.180e+04,6.800e+04,1.31,5.180e+05,6.800e+05,1.31,5.180e+06,6.800e+06,1.31
"3 coils, λ=1e-08",10.0%,4.883e-05,4.439e-05,4.439e-05,692,645,0.93,6.920,6.450,0.93,69.200,64.500,0.93,692,645,0.93,6920,6450,0.93,6.920e+04,6.450e+04,0.93,6.920e+05,6.450e+05,0.93,6.920e+06,6.450e+06,0.93
"3 coils, λ=1e-08",1.0%,4.483e-05,4.439e-05,4.439e-05,839,715,0.85,8.390,7.150,0.85,83.900,71.500,0.85,839,715,0.85,8390,7150,0.85,8.390e+04,7.150e+04,0.85,8.390e+05,7.150e+05,0.85,8.390e+06,7.150e+06,0.85
"3 coils, λ=1e-08",0.10%,4.443e-05,4.439e-05,4.439e-05,853,722,0.85,8.530,7.220,0.85,85.300,72.200,0.85,853,722,0.85,8530,7220,0.85,8.530e+04,7.220e+04,0.85,8.530e+05,7.220e+05,0.85,8.530e+06,7.220e+06,0.85
"4 coils, λ=1e-05",10.0%,2.964e-02,2.694e-02,2.694e-02,219,1027,4.69,2.190,10.270,4.69,21.900,102.700,4.69,219,1027,4.69,2190,1.027e+04,4.69,2.190e+04,1.027e+05,4.69,2.190e+05,1.027e+06,4.69,2.190e+06,1.027e+07,4.69
"4 coils, λ=1e-05",1.0%,2.721e-02,2.694e-02,2.694e-02,246,1315,5.35,2.460,13.150,5.35,24.600,131.500,5.35,246,1315,5.35,2460,1.315e+04,5.35,2.460e+04,1.315e+05,5.35,2.460e+05,1.315e+06,5.35,2.460e+06,1.315e+07,5.35
"4 coils, λ=1e-05",0.10%,2.697e-02,2.694e-02,2.694e-02,1758,1405,0.80,17.580,14.050,0.80,175.800,140.500,0.80,1758,1405,0.80,1.758e+04,1.405e+04,0.80,1.758e+05,1.405e+05,0.80,1.758e+06,1.405e+06,0.80,1.758e+07,1.405e+07,0.80
"4 coils, λ=1e-06",10.0%,1.712e-03,1.556e-03,1.556e-03,844,793,0.94,8.440,7.930,0.94,84.400,79.300,0.94,844,793,0.94,8440,7930,0.94,8.440e+04,7.930e+04,0.94,8.440e+05,7.930e+05,0.94,8.440e+06,7.930e+06,0.94
"4 coils, λ=1e-06",1.0%,1.572e-03,1.556e-03,1.556e-03,880,802,0.91,8.800,8.020,0.91,88.000,80.200,0.91,880,802,0.91,8800,8020,0.91,8.800e+04,8.020e+04,0.91,8.800e+05,8.020e+05,0.91,8.800e+06,8.020e+06,0.91
"4 coils, λ=1e-06",0.10%,1.558e-03,1.556e-03,1.556e-03,889,811,0.91,8.890,8.110,0.91,88.900,81.100,0.91,889,811,0.91,8890,8110,0.91,8.890e+04,8.110e+04,0.91,8.890e+05,8.110e+05,0.91,8.890e+06,8.110e+06,0.91
"4 coils, λ=1e-07",10.0%,5.870e-05,5.336e-05,5.336e-05,381,388,1.02,3.810,3.880,1.02,38.100,38.800,1.02,381,388,1.02,3810,3880,1.02,3.810e+04,3.880e+04,1.02,3.810e+05,3.880e+05,1.02,3.810e+06,3.880e+06,1.02
"4 coils, λ=1e-07",1.0%,5.390e-05,5.336e-05,5.336e-05,2127,1396,0.66,21.270,13.960,0.66,212.700,139.600,0.66,2127,1396,0.66,2.127e+04,1.396e+04,0.66,2.127e+05,1.396e+05,0.66,2.127e+06,1.396e+06,0.66,2.127e+07,1.396e+07,0.66
"4 coils, λ=1e-07",0.10%,5.342e-05,5.336e-05,5.336e-05,21918,1432,0.07,219.180,14.320,0.07,2191.800,143.200,0.07,2.192e+04,1432,0.07,2.192e+05,1.432e+04,0.07,2.192e+06,1.432e+05,0.07,2.192e+07,1.432e+06,0.07,2.192e+08,1.432e+07,0.07
"4 coils, λ=1e-08",10.0%,8.961e-06,8.149e-06,8.146e-06,2722,523,0.19,27.220,5.230,0.19,272.200,52.300,0.19,2722,523,0.19,2.722e+04,5230,0.19,2.722e+05,5.230e+04,0.19,2.722e+06,5.230e+05,0.19,2.722e+07,5.230e+06,0.19
"4 coils, λ=1e-08",1.0%,8.228e-06,8.149e-06,8.146e-06,12424,11485,0.92,124.240,114.850,0.92,1242.400,1148.500,0.92,1.242e+04,1.148e+04,0.92,1.242e+05,1.148e+05,0.92,1.242e+06,1.148e+06,0.92,1.242e+07,1.148e+07,0.92,1.242e+08,1.148e+08,0.92
"4 coils, λ=1e-08",0.10%,8.154e-06,8.149e-06,8.146e-06,18553,11503,0.62,185.530,115.030,0.62,1855.300,1150.300,0.62,1.855e+04,1.150e+04,0.62,1.855e+05,1.150e+05,0.62,1.855e+06,1.150e+06,0.62,1.855e+07,1.150e+07,0.62,1.855e+08,1.150e+08,0.62
"5 coils, λ=1e-05",10.0%,2.634e-02,2.395e-02,2.395e-02,464,6249,13.47,4.640,62.490,13.47,46.400,624.900,13.47,464,6249,13.47,4640,6.249e+04,13.47,4.640e+04,6.249e+05,13.47,4.640e+05,6.249e+06,13.47,4.640e+06,6.249e+07,13.47
"5 coils, λ=1e-05",1.0%,2.419e-02,2.395e-02,2.395e-02,563,6370,11.31,5.630,63.700,11.31,56.300,637.000,11.31,563,6370,11.31,5630,6.370e+04,11.31,5.630e+04,6.370e+05,11.31,5.630e+05,6.370e+06,11.31,5.630e+06,6.370e+07,11.31
"5 coils, λ=1e-05",0.10%,2.397e-02,2.395e-02,2.395e-02,585,6381,10.91,5.850,63.810,10.91,58.500,638.100,10.91,585,6381,10.91,5850,6.381e+04,10.91,5.850e+04,6.381e+05,10.91,5.850e+05,6.381e+06,10.91,5.850e+06,6.381e+07,10.91
"5 coils, λ=1e-06",10.0%,1.377e-03,1.252e-03,1.252e-03,629,3103,4.93,6.290,31.030,4.93,62.900,310.300,4.93,629,3103,4.93,6290,3.103e+04,4.93,6.290e+04,3.103e+05,4.93,6.290e+05,3.103e+06,4.93,6.290e+06,3.103e+07,4.93
